0,0.1,0,0.1751
0.02,0.12,0.0056,1.2673
0.04,0.14,0.0891,3.5445
0.06,0.16,0.3426,3.4487
0.08,0.18,0.7007,1.938
0.1,0.2,1.0545,2.6172
0.12,0.22,1.3887,4.677
0.14,0.24,1.716,5.5438
0.16,0.26,2.0429,5.8747
0.18,0.28,2.3709,7.3935
0.2,0.3,2.6998,8.8551
0.22,0.32,3.0291,9.1121
0.24,0.34,3.3589,9.7283
0.26,0.36,3.6892,10.5153
0.28,0.38,4.0198,10.184
0.3,0.4,4.3505,9.2841
0.32,0.42,4.6814,8.9186
0.34,0.44,5.0126,8.5042
0.36,0.46,5.344,7.9264
0.38,0.48,5.6756,8.1319
0.4,0.5,6.0072,8.7251
0.42,0.52,6.3391,9.0652
0.44,0.54,6.6711,9.5927
0.46,0.56,7.0032,10.1739
0.48,0.58,7.3354,10.2662
0.5,0.6,7.6677,10.0436
0.52,0.62,8.0001,9.9293
0.54,0.64,8.3326,9.5151
0.56,0.66,8.665,9.1332
0.58,0.68,8.9977,8.6773
0.6,0.7,9.3305,8.5236
0.62,0.72,9.6632,8.6859
0.64,0.74,9.9958,8.9501
0.66,0.76,10.3285,9.1352
0.68,0.78,10.6614,9.3642
0.7,0.8,10.9943,9.2756
0.72,0.82,11.3271,9.1975
0.74,0.84,11.66,9.0479
0.76,0.86,11.993,8.8478
0.78,0.88,12.3259,8.6523
0.8,0.9,12.6587,8.6244
0.82,0.92,12.9917,8.6433
0.84,0.94,13.3247,8.5983
0.86,0.96,13.6578,8.7162
0.88,0.98,13.9908,8.5792
0.9,1,14.3238,8.6006
0.92,1.02,14.6569,8.5552
0.94,1.04,14.99,8.3098
0.96,1.06,15.323,8.0882
0.98,1.08,15.6559,7.8798
1,1.1,15.989,8.1498
1.02,1.12,16.3222,8.2606
1.04,1.14,16.6553,8.4083
1.06,1.16,16.9883,8.4108
1.08,1.18,17.3213,8.1394
1.1,1.2,17.6545,7.8459
1.12,1.22,17.9877,7.7327
1.14,1.24,18.3207,7.8863
1.16,1.26,18.6537,7.75
1.18,1.28,18.9868,7.8331
1.2,1.3,19.32,7.8409
1.22,1.32,19.6531,7.6988
1.24,1.34,19.9861,7.7277
1.26,1.36,20.3192,7.4759
1.28,1.38,20.6525,7.5518
1.3,1.4,20.9855,7.6847
1.32,1.42,21.3186,7.6311
1.34,1.44,21.6517,7.7013
1.36,1.46,21.9849,7.5088
1.38,1.48,22.318,7.6432
1.4,1.5,22.651,7.7334
1.42,1.52,22.9841,7.6455
1.44,1.54,23.3174,7.586
1.46,1.56,23.6505,7.3839
1.48,1.58,23.9836,7.5212
1.5,1.6,24.3166,7.5032
1.52,1.62,24.6498,7.3727
1.54,1.64,24.9829,7.4267
1.56,1.66,25.316,7.4546
1.58,1.68,25.649,7.377
1.6,1.7,25.9822,7.3868
1.62,1.72,26.3154,7.3305
1.64,1.74,26.6485,7.1883
1.66,1.76,26.9816,7.1546
1.68,1.78,27.3147,7.1581
1.7,1.8,27.6478,7.2444
1.72,1.82,27.9809,7.212
1.74,1.84,28.3139,7.1205
1.76,1.86,28.6472,7.3565
1.78,1.88,28.9804,7.3409
1.8,1.9,29.3135,7.162
1.82,1.92,29.6465,7.2153
1.84,1.94,29.9796,7.2669
1.86,1.96,30.3128,7.3088
1.88,1.98,30.646,7.0784
1.9,2,30.9789,7.1439
1.92,2.02,31.3121,7.3751
1.94,2.04,31.6453,7.2688
1.96,2.06,31.9784,6.9661
1.98,2.08,32.3115,6.8327
2,2.1,32.6446,7.0847
2.02,2.12,32.9778,7.1184
2.04,2.14,33.3109,6.902
2.06,2.16,33.644,6.942
2.08,2.18,33.977,7.0125
2.1,2.2,34.3102,6.9292
2.12,2.22,34.6433,6.8008
2.14,2.24,34.9764,6.951
2.16,2.26,35.3095,7.1223
2.18,2.28,35.6427,6.936
2.2,2.3,35.9759,6.8156
2.22,2.32,36.309,6.8071
2.24,2.34,36.642,6.8057
2.26,2.36,36.9751,6.6386
2.28,2.38,37.3083,6.6312
2.3,2.4,37.6415,6.81
2.32,2.42,37.9745,6.7591
2.34,2.44,38.3076,6.6121
2.36,2.46,38.6408,6.7413
2.38,2.48,38.974,6.6743
2.4,2.5,39.307,6.5007
2.42,2.52,39.64,6.5356
2.44,2.54,39.9732,6.6622
2.46,2.56,40.3064,6.4811
2.48,2.58,40.6395,6.4734
2.5,2.6,40.9726,6.6239
2.52,2.62,41.3058,6.4691
2.54,2.64,41.6389,6.2957
2.56,2.66,41.9719,6.3156
2.58,2.68,42.305,6.2969
2.6,2.7,42.6382,6.2633
2.62,2.72,42.9714,6.3445
2.64,2.74,43.3044,6.4116
2.66,2.76,43.6375,6.2884
2.68,2.78,43.9706,6.2343
2.7,2.8,44.3038,6.2342
2.72,2.82,44.6369,6.1544
2.74,2.84,44.97,6.2776
2.76,2.86,45.3031,6.2923
2.78,2.88,45.6363,6.0647
2.8,2.9,45.9695,5.9166
2.82,2.92,46.3026,6.0888
2.84,2.94,46.6356,6.043
2.86,2.96,46.9688,6.018
2.88,2.98,47.302,6.1544
2.9,3,47.6351,6.0391
2.92,3.02,47.9681,6.0767
2.94,3.04,48.3013,6.2482
2.96,3.06,48.6345,6.1162
2.98,3.08,48.9675,6.033
3,3.1,49.3005,5.9982
3.02,3.12,49.6336,6.0379
3.04,3.14,49.9669,5.9354
3.06,3.16,50.2999,5.9677
3.08,3.18,50.633,5.9708
3.1,3.2,50.9662,5.7953
3.12,3.22,51.2995,5.9105
3.14,3.24,51.6325,5.8366
3.16,3.26,51.9655,5.7005
3.18,3.28,52.2986,5.7307
3.2,3.3,52.6319,5.5565
3.22,3.32,52.965,5.5305
3.24,3.34,53.2981,5.4872
3.26,3.36,53.6311,5.3896
3.28,3.38,53.9643,5.3912
3.3,3.4,54.2975,5.4892
3.32,3.42,54.6305,5.5821
3.34,3.44,54.9636,5.7011
3.36,3.46,55.2967,5.711
3.38,3.48,55.6299,5.743
3.4,3.5,55.963,5.7607
3.42,3.52,56.296,5.715
3.44,3.54,56.6292,5.7727
3.46,3.56,56.9624,5.6529
3.48,3.58,57.2955,5.7834
3.5,3.6,57.6286,5.63
3.52,3.62,57.9617,5.6412
3.54,3.64,58.295,5.7179
3.56,3.66,58.6281,5.5426
3.58,3.68,58.961,5.6407
3.6,3.7,59.2941,5.6019
3.62,3.72,59.6274,5.6288
3.64,3.74,59.9605,5.68
3.66,3.76,60.2935,5.6199
3.68,3.78,60.6266,5.5314
3.7,3.8,60.9598,5.4681
3.72,3.82,61.2929,5.4649
3.74,3.84,61.626,5.4369
3.76,3.86,61.9591,5.5292
3.78,3.88,62.2923,5.5202
3.8,3.9,62.6255,5.4578
3.82,3.92,62.9586,5.6261
3.84,3.94,63.2917,5.5362
3.86,3.96,63.6249,5.5168
3.88,3.98,63.958,5.5884
3.9,4,64.291,5.518
3.92,4.02,64.624,5.5906
3.94,4.04,64.9572,5.5045
3.96,4.06,65.2904,5.502
3.98,4.08,65.6235,5.5309
4,4.1,65.9566,5.4834
4.02,4.12,66.2897,5.5176
4.04,4.14,66.6229,5.4031
4.06,4.16,66.956,5.4528
4.08,4.18,67.289,5.4644
4.1,4.2,67.6221,5.4713
4.12,4.22,67.9553,5.529
4.14,4.24,68.2885,5.4136
4.16,4.26,68.6215,5.4548
4.18,4.28,68.9546,5.4927
4.2,4.3,69.2878,5.5377
4.22,4.32,69.6209,5.6296
4.24,4.34,69.954,5.5106
4.26,4.36,70.2871,5.5969
4.28,4.38,70.6203,5.5057
4.3,4.4,70.9535,5.4606
4.32,4.42,71.2865,5.4881
4.34,4.44,71.6195,5.4321
