0,0.1,0,0.4587
0.02,0.12,0.0056,1.564
0.04,0.14,0.0897,3.9889
0.06,0.16,0.344,4.2075
0.08,0.18,0.7024,3.0401
0.1,0.2,1.0562,3.7256
0.12,0.22,1.3904,5.558
0.14,0.24,1.7178,6.2204
0.16,0.26,2.0445,6.342
0.18,0.28,2.3724,7.3871
0.2,0.3,2.7013,8.3461
0.22,0.32,3.0307,8.4038
0.24,0.34,3.3606,8.9645
0.26,0.36,3.6907,9.8501
0.28,0.38,4.0212,10.0911
0.3,0.4,4.3519,10.0682
0.32,0.42,4.6829,10.5569
0.34,0.44,5.0141,10.8357
0.36,0.46,5.3454,10.6175
0.38,0.48,5.677,10.8247
0.4,0.5,6.0087,11.2421
0.42,0.52,6.3406,11.3157
0.44,0.54,6.6726,11.5273
0.46,0.56,7.0047,11.4611
0.48,0.58,7.3369,11.3242
0.5,0.6,7.6691,10.953
0.52,0.62,8.0015,10.905
0.54,0.64,8.334,10.9737
0.56,0.66,8.6665,11.0684
0.58,0.68,8.9991,11.1028
0.6,0.7,9.3317,10.6854
0.62,0.72,9.6644,10.5033
0.64,0.74,9.9972,10.4417
0.66,0.76,10.33,10.5268
0.68,0.78,10.6628,10.6535
0.7,0.8,10.9956,10.6125
0.72,0.82,11.3285,10.3974
0.74,0.84,11.6614,9.8243
0.76,0.86,11.9944,9.7101
0.78,0.88,12.3273,9.7151
0.8,0.9,12.6602,9.3659
0.82,0.92,12.9931,9.2708
0.84,0.94,13.3261,9.1843
0.86,0.96,13.6592,9.0828
0.88,0.98,13.9922,8.8479
0.9,1,14.3252,8.5731
0.92,1.02,14.6582,8.449
0.94,1.04,14.9912,8.3763
0.96,1.06,15.3243,8.4549
0.98,1.08,15.6573,8.2702
1,1.1,15.9904,8.2317
1.02,1.12,16.3235,7.9504
1.04,1.14,16.6566,7.6936
1.06,1.16,16.9897,7.8089
1.08,1.18,17.3228,7.9177
1.1,1.2,17.6559,7.8073
1.12,1.22,17.9889,7.584
1.14,1.24,18.3221,7.4141
1.16,1.26,18.6552,7.5359
1.18,1.28,18.9883,7.3769
1.2,1.3,19.3213,7.1408
1.22,1.32,19.6544,6.9021
1.24,1.34,19.9875,6.9643
1.26,1.36,20.3206,7.0288
1.28,1.38,20.6538,6.9604
1.3,1.4,20.9869,6.9064
1.32,1.42,21.32,6.7707
1.34,1.44,21.6531,6.6402
1.36,1.46,21.9862,6.5677
1.38,1.48,22.3193,6.5241
1.4,1.5,22.6525,6.5425
1.42,1.52,22.9856,6.5432
1.44,1.54,23.3186,6.4445
1.46,1.56,23.6518,6.3644
1.48,1.58,23.985,6.337
1.5,1.6,24.3181,6.2499
1.52,1.62,24.6511,6.2112
1.54,1.64,24.9841,6.2848
1.56,1.66,25.3173,6.3937
1.58,1.68,25.6505,6.281
1.6,1.7,25.9836,6.1839
1.62,1.72,26.3167,6.1714
1.64,1.74,26.6498,6.1016
1.66,1.76,26.9829,6.1197
1.68,1.78,27.316,6.201
1.7,1.8,27.6491,6.1552
1.72,1.82,27.9822,6.1007
1.74,1.84,28.3154,5.9147
1.76,1.86,28.6486,5.9084
1.78,1.88,28.9817,5.9499
1.8,1.9,29.3148,5.9075
1.82,1.92,29.6479,5.8378
