t,x,y,nx,ny
0.034,306.3,-304.3,0,0
0.068,306.3,-304.5,0,-0.2
0.102,306.2,-304.9,-0.1,-0.6
0.135,305.3,-305.6,-1,-1.3
0.169,304.1,-306,-2.2,-1.7
0.203,303,-306.3,-3.3,-2
0.237,301.8,-306.2,-4.5,-1.9
0.271,301.1,-305.5,-5.2,-1.2
0.305,301.3,-304.4,-5,-0.1
0.338,301.9,-303.2,-4.4,1.1
0.372,301.7,-302.2,-4.6,2.1
0.406,301.7,-301.4,-4.6,2.9
0.44,300.8,-300.3,-5.5,4
0.474,299.7,-299.3,-6.6,5
0.508,298.5,-297.9,-7.8,6.4
0.542,297.2,-295.9,-9.1,8.4
0.575,296.2,-293.3,-10.1,11
0.609,295,-290.6,-11.3,13.7
0.643,294,-287.9,-12.3,16.4
0.677,291,-283.5,-15.3,20.8
0.711,289.6,-281.1,-16.7,23.2
0.745,287.8,-278.6,-18.5,25.7
0.778,286.3,-276,-20,28.3
0.812,284.9,-273,-21.4,31.3
0.846,283.2,-270.2,-23.1,34.1
0.88,282,-267.4,-24.3,36.9
0.914,280.7,-264.4,-25.6,39.9
0.948,279.1,-261.2,-27.2,43.1
0.982,277.6,-258.1,-28.7,46.2
1.015,276,-254.6,-30.3,49.7
1.049,274.5,-251.1,-31.8,53.2
1.083,273.2,-247.4,-33.1,56.9
1.117,271.9,-243.8,-34.4,60.5
1.151,270.7,-240.5,-35.6,63.8
1.185,269.6,-236.9,-36.7,67.4
1.218,268.3,-233.8,-38,70.5
1.252,267.2,-230.8,-39.1,73.5
1.286,266.5,-228.5,-39.8,75.8
1.32,266.1,-227.2,-40.2,77.1
1.354,266.1,-226.6,-40.2,77.7
1.388,265.9,-226.4,-40.4,77.9
1.421,265.8,-226.3,-40.5,78
1.455,265.6,-226.1,-40.7,78.2
1.489,265.5,-226,-40.8,78.3
1.523,265.4,-225.9,-40.9,78.4
1.557,265.3,-225.9,-41,78.4
1.591,264.9,-226.2,-41.4,78.1
1.625,263.9,-227.1,-42.4,77.2
1.658,262.7,-228.4,-43.6,75.9
1.692,261.5,-229.4,-44.8,74.9
1.726,261.2,-231.1,-45.1,73.2
1.76,261.5,-233,-44.8,71.3
1.794,263,-235.2,-43.3,69.1
1.828,265.1,-238.1,-41.2,66.2
1.861,267.1,-241.3,-39.2,63
1.895,269,-245.3,-37.3,59
1.929,270.8,-250.3,-35.5,54
1.963,272.8,-254.7,-33.5,49.6
1.997,274.9,-258.9,-31.4,45.4
2.031,276.8,-262.3,-29.5,42
2.065,278.3,-264.7,-28,39.6
2.098,279.5,-267.4,-26.8,36.9
2.132,280.7,-271,-25.6,33.3
2.166,282.2,-274.7,-24.1,29.6
2.2,284.2,-278.2,-22.1,26.1
2.234,286.6,-281.4,-19.7,22.9
2.268,288.7,-284,-17.6,20.3
2.301,290.2,-286.7,-16.1,17.6
2.335,291.6,-289.1,-14.7,15.2
2.369,293,-292,-13.3,12.3
2.403,294.8,-294.7,-11.5,9.6
2.437,296.5,-297.5,-9.8,6.8
2.471,298.4,-300.5,-7.9,3.8
2.505,300.4,-303,-5.9,1.3
2.538,301.7,-305.5,-4.6,-1.2
2.572,303.2,-307.9,-3.1,-3.6
2.606,304.6,-310.2,-1.7,-5.9
2.64,306.1,-312.4,-0.2,-8.1
2.674,307.4,-314.3,1.1,-10
2.708,308.2,-316,1.9,-11.7
2.741,308.5,-317.2,2.2,-12.9
2.775,308.3,-317.4,2,-13.1
2.809,308.2,-317.5,1.9,-13.2
2.843,308.1,-317.5,1.8,-13.2
2.877,308.1,-317.5,1.8,-13.2
2.911,308.1,-317.6,1.8,-13.3
2.945,308.1,-317.7,1.8,-13.4
2.978,308.2,-317.9,1.9,-13.6
3.012,308.1,-318.2,1.8,-13.9
3.046,307.7,-318.7,1.4,-14.4
3.08,306.9,-319.5,0.6,-15.2
3.114,305.8,-319.8,-0.5,-15.5
3.148,304.7,-320.4,-1.6,-16.1
3.181,303.9,-320.2,-2.4,-15.9
3.215,304.2,-319.7,-2.1,-15.4
3.249,304.5,-319.1,-1.8,-14.8
3.283,305.6,-318.1,-0.7,-13.8
3.317,306,-317.6,-0.3,-13.3
3.351,306,-317.6,-0.3,-13.3
3.384,305.5,-317.3,-0.8,-13
3.418,304.5,-317,-1.8,-12.7
3.452,303.9,-316.2,-2.4,-11.9
3.486,303,-315.4,-3.3,-11.1
3.52,302.6,-314,-3.7,-9.7
3.554,302.1,-312.3,-4.2,-8
3.588,301.5,-310.8,-4.8,-6.5
3.621,300.2,-309.1,-6.1,-4.8
3.655,298.4,-307.2,-7.9,-2.9
3.689,296.7,-304.7,-9.6,-0.4
3.723,295,-302.3,-11.3,2
3.757,293.3,-299.4,-13,4.9
3.791,292.1,-296.7,-14.2,7.6
3.824,290.6,-293.6,-15.7,10.7
3.858,289.3,-290.6,-17,13.7
3.892,288.2,-287.7,-18.1,16.6
3.926,286.8,-284.7,-19.5,19.6
3.96,285.4,-281.4,-20.9,22.9
3.994,283.7,-278.1,-22.6,26.2
4.028,282.2,-274.4,-24.1,29.9
4.061,280.6,-270.9,-25.7,33.4
4.095,279.5,-267.3,-26.8,37
4.129,278.4,-263.8,-27.9,40.5
4.163,277.3,-260.6,-29,43.7
4.197,276,-257.4,-30.3,46.9
4.231,274.6,-254.3,-31.7,50
4.264,274,-252.4,-32.3,51.9
4.298,273.6,-251.5,-32.7,52.8
4.332,273.7,-251.3,-32.6,53
4.366,273.7,-251.2,-32.6,53.1
4.4,273.6,-251.1,-32.7,53.2
4.434,273.4,-250.9,-32.9,53.4
4.468,273.4,-250.9,-32.9,53.4
4.501,273.5,-250.9,-32.8,53.4
4.535,273.2,-250.9,-33.1,53.4
4.569,272.6,-251.6,-33.7,52.7
4.603,271.2,-252.4,-35.1,51.9
4.637,269.9,-253.9,-36.4,50.4
4.671,269.2,-255.6,-37.1,48.7
4.704,269.1,-257.7,-37.2,46.6
4.738,270.2,-259.8,-36.1,44.5
4.772,272.1,-262.6,-34.2,41.7
4.806,274.5,-265.8,-31.8,38.5
4.84,276.9,-269.8,-29.4,34.5
4.874,278.8,-274.4,-27.5,29.9
4.908,280.6,-279.2,-25.7,25.1
4.941,282.2,-283.2,-24.1,21.1
4.975,283.8,-286.2,-22.5,18.1
5.009,285.1,-288.8,-21.2,15.5
5.043,286.5,-291.5,-19.8,12.8
5.077,287.9,-294.7,-18.4,9.6
5.111,289.7,-298.3,-16.6,6
5.144,291.6,-301.9,-14.7,2.4
5.178,293.8,-305.4,-12.5,-1.1
5.212,295.9,-308.1,-10.4,-3.8
5.246,297.7,-310.6,-8.6,-6.3
5.28,300.7,-315.8,-5.6,-11.5
5.314,302.6,-318.2,-3.7,-13.9
5.347,304.4,-321,-1.9,-16.7
5.381,306.5,-323.9,0.2,-19.6
5.415,308.2,-326.7,1.9,-22.4
5.449,309.8,-329.2,3.5,-24.9
5.483,311.4,-331.5,5.1,-27.2
5.517,312.7,-333.9,6.4,-29.6
5.551,314.2,-336,7.9,-31.7
5.584,315.6,-337.7,9.3,-33.4
5.618,316.4,-339.4,10.1,-35.1
5.652,316.7,-340.5,10.4,-36.2
5.686,316.5,-340.9,10.2,-36.6
5.72,316.4,-340.9,10.1,-36.6
5.754,316.3,-340.9,10,-36.6
5.787,316.3,-340.9,10,-36.6
5.821,316.3,-341,10,-36.7
5.855,316.4,-341.1,10.1,-36.8
5.889,316.6,-341.2,10.3,-36.9
5.923,316.4,-341.4,10.1,-37.1
5.957,316.1,-341.7,9.8,-37.4
5.991,315.6,-341.9,9.3,-37.6
6.024,314.7,-342.7,8.4,-38.4
6.058,313.7,-342.8,7.4,-38.5
6.092,312.6,-343.1,6.3,-38.8
6.126,312.1,-342.7,5.8,-38.4
6.16,312.1,-342.2,5.8,-37.9
6.194,312.8,-341.4,6.5,-37.1
6.227,313.4,-340.6,7.1,-36.3
6.261,313.6,-340,7.3,-35.7
6.295,313.8,-339.4,7.5,-35.1
6.329,313.1,-338.8,6.8,-34.5
6.363,312.3,-338.1,6,-33.8
6.397,311.1,-337.4,4.8,-33.1
6.431,310.5,-336.1,4.2,-31.8
6.464,309.9,-335.1,3.6,-30.8
6.498,309.4,-333.6,3.1,-29.3
6.532,308.8,-332.2,2.5,-27.9
6.566,307.8,-330.5,1.5,-26.2
6.6,306.1,-328.5,-0.2,-24.2
6.634,304.4,-326.1,-1.9,-21.8
6.667,302.7,-323.6,-3.6,-19.3
6.701,301,-320.8,-5.3,-16.5
6.735,299.5,-318,-6.8,-13.7
6.769,298.4,-315.1,-7.9,-10.8
6.803,297.5,-312.3,-8.8,-8
6.837,296.3,-309.2,-10,-4.9
6.871,294.9,-306.1,-11.4,-1.8
6.904,293.4,-302.8,-12.9,1.5
6.938,291.8,-299.5,-14.5,4.8
6.972,290.1,-296.2,-16.2,8.1
7.006,288.7,-292.6,-17.6,11.7
7.04,287,-289,-19.3,15.3
7.074,285.8,-285.6,-20.5,18.7
7.107,284.9,-282.3,-21.4,22
7.141,283.6,-279.2,-22.7,25.1
7.175,282.6,-276.2,-23.7,28.1
7.209,282.1,-274.6,-24.2,29.7
7.243,281.8,-273.8,-24.5,30.5
7.277,281.9,-274,-24.4,30.3
7.31,281.7,-274.2,-24.6,30.1
7.344,281.7,-274.1,-24.6,30.2
7.378,281.6,-274,-24.7,30.3
7.412,281.6,-274.1,-24.7,30.2
7.446,281.6,-274.1,-24.7,30.2
7.48,281.2,-274.2,-25.1,30.1
7.514,280.4,-275,-25.9,29.3
7.547,279.1,-276,-27.2,28.3
7.581,276.9,-278.9,-29.4,25.4
7.615,277.1,-280.6,-29.2,23.7
7.649,278.2,-282.9,-28.1,21.4
7.683,280.1,-285.5,-26.2,18.8
7.717,282.1,-289,-24.2,15.3
7.75,284.4,-292.9,-21.9,11.4
7.784,286.3,-297.4,-20,6.9
7.818,288.3,-302.3,-18,2
7.852,290,-306.7,-16.3,-2.4
7.886,291.6,-310,-14.7,-5.7
7.92,293.1,-312.6,-13.2,-8.3
7.954,294.2,-315.2,-12.1,-10.9
7.987,295.7,-318.7,-10.6,-14.4
8.021,297.5,-322.6,-8.8,-18.3
8.055,299.4,-326.3,-6.9,-22
8.089,301.5,-329.3,-4.8,-25
8.123,303.4,-331.9,-2.9,-27.6
8.157,305.1,-334.6,-1.2,-30.3
8.19,306.4,-337.2,0.1,-32.9
8.224,307.7,-339.6,1.4,-35.3
8.258,309.3,-342.2,3,-37.9
8.292,311.2,-345,4.9,-40.7
8.326,313.3,-348,7,-43.7
8.36,314.8,-350.4,8.5,-46.1
8.394,316.5,-352.8,10.2,-48.5
8.427,317.7,-355,11.4,-50.7
8.461,319.2,-357.3,12.9,-53
8.495,320.7,-359.3,14.4,-55
8.529,321.9,-360.9,15.6,-56.6
8.563,322.6,-362.6,16.3,-58.3
8.597,322.7,-363.8,16.4,-59.5
8.63,322.7,-364,16.4,-59.7
8.664,322.6,-364,16.3,-59.7
8.698,322.6,-364,16.3,-59.7
8.732,322.6,-364,16.3,-59.7
8.766,322.6,-364.1,16.3,-59.8
8.8,322.7,-364.2,16.4,-59.9
8.834,322.8,-364.4,16.5,-60.1
8.867,322.8,-364.5,16.5,-60.2
8.901,322.7,-364.7,16.4,-60.4
8.935,322.1,-365.1,15.8,-60.8
8.969,321.2,-365.8,14.9,-61.5
9.003,320.1,-366,13.8,-61.7
9.037,319.3,-366.1,13,-61.8
9.07,318.3,-365.7,12,-61.4
9.104,318.4,-365.1,12.1,-60.8
9.138,319,-364.1,12.7,-59.8
9.172,319.6,-362.9,13.3,-58.6
9.206,320.2,-361.4,13.9,-57.1
9.24,319.9,-360,13.6,-55.7
9.273,319.1,-359.2,12.8,-54.9
9.307,317.8,-357.8,11.5,-53.5
9.341,316.5,-356.2,10.2,-51.9
9.375,315.1,-354.1,8.8,-49.8
9.409,314.3,-352.3,8,-48
9.443,313.6,-349.9,7.3,-45.6
9.477,312.8,-347.2,6.5,-42.9
9.51,311.8,-344.7,5.5,-40.4
9.544,310.3,-342.1,4,-37.8
9.578,308.5,-339.6,2.2,-35.3
9.612,306.8,-337.1,0.5,-32.8
9.646,305.1,-334.5,-1.2,-30.2
9.68,303.7,-331.5,-2.6,-27.2
9.713,302.6,-328.4,-3.7,-24.1
9.747,301.5,-325.6,-4.8,-21.3
9.781,300.2,-322.6,-6.1,-18.3
9.815,299,-319.4,-7.3,-15.1
9.849,297.4,-316.2,-8.9,-11.9
9.883,294.5,-309.5,-11.8,-5.2
9.917,293,-306.1,-13.3,-1.8
9.95,291.7,-302.6,-14.6,1.7
9.984,290.7,-299,-15.6,5.3
10.018,289.8,-295.7,-16.5,8.6
10.052,288.7,-292.5,-17.6,11.8
10.086,287.7,-289.7,-18.6,14.6
10.12,287.4,-288.1,-18.9,16.2
10.153,286.9,-287.4,-19.4,16.9
10.187,287,-287.4,-19.3,16.9
10.221,286.7,-287.5,-19.6,16.8
10.255,286.5,-287.4,-19.8,16.9
10.289,286.5,-287.5,-19.8,16.8
10.323,286.5,-287.5,-19.8,16.8
10.357,286.4,-287.5,-19.9,16.8
10.39,286.1,-287.7,-20.2,16.6
10.424,285,-288.4,-21.3,15.9
10.458,283.6,-289.8,-22.7,14.5
10.492,282.3,-291.2,-24,13.1
10.526,281.4,-292.6,-24.9,11.7
10.56,281.7,-294.4,-24.6,9.9
10.593,283.1,-296.8,-23.2,7.5
10.627,285,-299.6,-21.3,4.7
10.661,287.3,-302.8,-19,1.5
10.695,289.4,-306.9,-16.9,-2.6
10.729,291.5,-311.6,-14.8,-7.3
10.763,293.4,-316,-12.9,-11.7
10.797,294.9,-320.2,-11.4,-15.9
10.83,296.4,-323.4,-9.9,-19.1
10.864,297.8,-325.9,-8.5,-21.6
10.898,298.7,-328.6,-7.6,-24.3
10.932,300.2,-332.2,-6.1,-27.9
10.966,301.7,-336.1,-4.6,-31.8
11,303.6,-339.4,-2.7,-35.1
11.033,306,-342.5,-0.3,-38.2
11.067,307.9,-345.1,1.6,-40.8
11.101,309.7,-348,3.4,-43.7
11.135,310.8,-350.3,4.5,-46
11.169,312.3,-353.1,6,-48.8
11.203,313.9,-355.5,7.6,-51.2
11.236,315.9,-358.1,9.6,-53.8
11.27,317.8,-360.8,11.5,-56.5
11.304,319.3,-363.4,13,-59.1
11.338,320.9,-366,14.6,-61.7
11.372,322.3,-368,16,-63.7
11.406,323.8,-370.1,17.5,-65.8
11.44,325.2,-372.1,18.9,-67.8
11.473,326.6,-373.9,20.3,-69.6
