t,x,y,nx,ny
0,304.9,-311.5,0,0
0.034,305.1,-311.5,0.2,0
0.068,305.2,-311.5,0.3,0
0.102,305.2,-311.9,0.3,-0.4
0.135,305.3,-312.2,0.4,-0.7
0.169,304.6,-312.8,-0.3,-1.3
0.203,303.9,-313.5,-1,-2
0.237,302.3,-313.9,-2.6,-2.4
0.271,300.6,-314.2,-4.3,-2.7
0.305,299.8,-313.6,-5.1,-2.1
0.338,299.5,-312.5,-5.4,-1
0.372,300,-311.4,-4.9,0.1
0.406,300.5,-310,-4.4,1.5
0.44,300.4,-308.5,-4.5,3
0.474,299.9,-307.5,-5,4
0.508,298.4,-306.4,-6.5,5.1
0.541,297.1,-305.5,-7.8,6
0.575,295.4,-304.2,-9.5,7.3
0.609,294.5,-302.6,-10.4,8.9
0.643,293.7,-300.9,-11.2,10.6
0.677,293.1,-298.3,-11.8,13.2
0.711,292,-296.3,-12.9,15.2
0.745,290.6,-293.8,-14.3,17.7
0.778,288.6,-291.3,-16.3,20.2
0.812,286.5,-288.3,-18.4,23.2
0.846,284.4,-285.7,-20.5,25.8
0.88,281.6,-280.4,-23.3,31.1
0.914,280.1,-277.8,-24.8,33.7
0.948,278.9,-274.7,-26,36.8
0.981,277.5,-271.7,-27.4,39.8
1.015,275.9,-268.5,-29,43
1.049,273.9,-264.9,-31,46.6
1.083,272.5,-261.3,-32.4,50.2
1.117,270.7,-257.8,-34.2,53.7
1.151,269.1,-254.4,-35.8,57.1
1.184,267.6,-250.9,-37.3,60.6
1.218,266.4,-247.4,-38.5,64.1
1.252,265.2,-244,-39.7,67.5
1.286,264,-240.7,-40.9,70.8
1.32,262.7,-237.8,-42.2,73.7
1.354,262.2,-236.1,-42.7,75.4
1.387,262,-235.2,-42.9,76.3
1.421,262.1,-235.4,-42.8,76.1
1.455,262,-235.5,-42.9,76
1.489,261.8,-235.6,-43.1,75.9
1.523,261.7,-235.6,-43.2,75.9
1.557,261.7,-235.6,-43.2,75.9
1.591,261.7,-235.7,-43.2,75.8
1.624,261.4,-235.8,-43.5,75.7
1.658,260.9,-236.5,-44,75
1.692,259.2,-237.7,-45.7,73.8
1.726,257.7,-239,-47.2,72.5
1.76,257.1,-240.8,-47.8,70.7
1.794,257.5,-242.8,-47.4,68.7
1.827,258.9,-245,-46,66.5
1.861,260.7,-247.8,-44.2,63.7
1.895,262.7,-251.2,-42.2,60.3
1.929,264.9,-254.9,-40,56.6
1.963,267,-259.4,-37.9,52.1
1.997,269,-264.2,-35.9,47.3
2.03,270.9,-268.3,-34,43.2
2.064,272.5,-271.4,-32.4,40.1
2.098,273.7,-274,-31.2,37.5
2.132,275.1,-277,-29.8,34.5
2.166,276.6,-280.8,-28.3,30.7
2.2,278.3,-284.5,-26.6,27
2.234,280.4,-288.2,-24.5,23.3
2.267,282.6,-291.2,-22.3,20.3
2.301,284.9,-294,-20,17.5
2.335,287,-296.6,-17.9,14.9
2.369,288.5,-298.9,-16.4,12.6
2.403,290.1,-301.7,-14.8,9.8
2.437,291.9,-304.4,-13,7.1
2.47,294.1,-307.2,-10.8,4.3
2.504,296.1,-309.4,-8.8,2.1
2.538,298.3,-311.8,-6.6,-0.3
2.572,299.7,-314.1,-5.2,-2.6
2.606,301.6,-316.4,-3.3,-4.9
2.64,303.3,-318.7,-1.6,-7.2
2.673,304.8,-320.8,-0.1,-9.3
2.707,306.7,-322.9,1.8,-11.4
2.741,307.6,-324.5,2.7,-13
2.775,308.1,-325.8,3.2,-14.3
2.809,308.1,-326,3.2,-14.5
2.843,308.1,-326.1,3.2,-14.6
2.877,308.2,-326.2,3.3,-14.7
2.91,308.2,-326.2,3.3,-14.7
2.944,308.2,-326.3,3.3,-14.8
2.978,308.4,-326.5,3.5,-15
3.012,308.6,-326.7,3.7,-15.2
3.046,308.5,-326.9,3.6,-15.4
3.08,308.5,-327.1,3.6,-15.6
3.113,307.8,-327.4,2.9,-15.9
3.147,306.8,-328.4,1.9,-16.9
3.181,305.7,-328.7,0.8,-17.2
3.215,304.8,-329,-0.1,-17.5
3.249,303.7,-328.1,-1.2,-16.6
3.283,304.3,-327.1,-0.6,-15.6
3.316,304.8,-326.3,-0.1,-14.8
3.35,305.1,-325.4,0.2,-13.9
3.384,304.9,-324.9,0,-13.4
3.418,303.7,-324.6,-1.2,-13.1
3.452,302.5,-323.5,-2.4,-12
3.486,301.2,-322.7,-3.7,-11.2
3.519,300.2,-321.3,-4.7,-9.8
3.553,299.6,-319.6,-5.3,-8.1
3.587,298.9,-318,-6,-6.5
3.621,298.2,-316.3,-6.7,-4.8
3.655,297,-314.8,-7.9,-3.3
3.689,295.4,-313,-9.5,-1.5
3.723,293.5,-311,-11.4,0.5
3.756,291.6,-309,-13.3,2.5
3.79,290.1,-306.7,-14.8,4.8
3.824,288.6,-303.9,-16.3,7.6
3.858,287.3,-301.2,-17.6,10.3
3.892,285.9,-298.1,-19,13.4
3.926,284.8,-294.9,-20.1,16.6
3.959,283.4,-291.7,-21.5,19.8
3.993,281.8,-288.4,-23.1,23.1
4.027,280.1,-284.9,-24.8,26.6
4.061,278.8,-281.4,-26.1,30.1
4.095,277.5,-278,-27.4,33.5
4.129,275.9,-274.3,-29,37.2
4.162,274.8,-270.6,-30.1,40.9
4.196,273.4,-267.3,-31.5,44.2
4.23,272.2,-264.1,-32.7,47.4
4.264,271.2,-261.2,-33.7,50.3
4.298,270.1,-259.5,-34.8,52
4.332,270,-258.3,-34.9,53.2
4.366,270.2,-257.9,-34.7,53.6
4.399,270.1,-257.9,-34.8,53.6
4.433,270,-257.8,-34.9,53.7
4.467,269.9,-257.7,-35,53.8
4.501,269.9,-257.7,-35,53.8
4.535,269.8,-257.6,-35.1,53.9
4.569,269.9,-257.6,-35,53.9
4.602,269.3,-257.9,-35.6,53.6
4.636,268,-258.9,-36.9,52.6
4.67,267.1,-260,-37.8,51.5
4.704,266,-261.1,-38.9,50.4
4.738,265.4,-262.7,-39.5,48.8
4.772,265.8,-264.9,-39.1,46.6
4.805,266.9,-267.4,-38,44.1
4.839,268.8,-270.3,-36.1,41.2
4.873,270.9,-274,-34,37.5
4.907,273.1,-278,-31.8,33.5
4.941,275.3,-282.5,-29.6,29
4.975,277.2,-287.1,-27.7,24.4
5.009,279,-291.1,-25.9,20.4
5.042,280.7,-294.3,-24.2,17.2
5.076,282,-297.3,-22.9,14.2
5.11,283.3,-300.2,-21.6,11.3
5.144,285,-303.4,-19.9,8.1
5.178,286.5,-306.6,-18.4,4.9
5.212,288.6,-310.1,-16.3,1.4
5.245,290.8,-313.1,-14.1,-1.6
5.279,293.2,-316,-11.7,-4.5
5.313,295.2,-318.9,-9.7,-7.4
5.347,296.6,-321.3,-8.3,-9.8
5.381,298.5,-323.9,-6.4,-12.4
5.415,299.7,-326.2,-5.2,-14.7
5.448,301.8,-328.6,-3.1,-17.1
5.482,303.7,-331.4,-1.2,-19.9
5.516,305.9,-333.6,1,-22.1
5.55,307.5,-336.2,2.6,-24.7
5.584,311.2,-340.4,6.3,-28.9
5.618,312.6,-342.5,7.7,-31
5.651,314.5,-344,9.6,-32.5
5.685,315.2,-345.6,10.3,-34.1
5.719,315.3,-346.5,10.4,-35
5.753,315,-347.1,10.1,-35.6
5.787,315,-347,10.1,-35.5
5.821,315,-346.9,10.1,-35.4
5.855,315,-346.9,10.1,-35.4
5.888,315,-346.8,10.1,-35.3
5.922,315.1,-347,10.2,-35.5
5.956,315.2,-347.1,10.3,-35.6
5.99,315.1,-347.1,10.2,-35.6
6.024,315,-347.4,10.1,-35.9
6.058,314.6,-348,9.7,-36.5
6.091,314,-348.7,9.1,-37.2
6.125,312.8,-349.5,7.9,-38
6.159,311.5,-350,6.6,-38.5
6.193,311,-350,6.1,-38.5
6.227,310.6,-349.7,5.7,-38.2
6.261,311.3,-349,6.4,-37.5
6.294,311.9,-348.2,7,-36.7
6.328,312.8,-347.4,7.9,-35.9
6.362,312.9,-347.2,8,-35.7
6.396,312,-346.8,7.1,-35.3
6.43,311.1,-346.7,6.2,-35.2
6.464,309.9,-346.6,5,-35.1
6.498,309.3,-345.9,4.4,-34.4
6.531,308.9,-345,4,-33.5
6.565,308.8,-343.9,3.9,-32.4
6.599,307.9,-342.4,3,-30.9
6.633,306.8,-341.4,1.9,-29.9
6.667,305.7,-339.8,0.8,-28.3
6.701,304.3,-338.3,-0.6,-26.8
6.734,302.8,-336.5,-2.1,-25
6.768,301.1,-334.3,-3.8,-22.8
6.802,300,-332.2,-4.9,-20.7
6.836,298.3,-329.2,-6.6,-17.7
6.87,297.2,-326.5,-7.7,-15
6.904,295.7,-323.3,-9.2,-11.8
6.937,294.5,-320.2,-10.4,-8.7
6.971,293.1,-317,-11.8,-5.5
7.005,291.6,-313.7,-13.3,-2.2
7.039,290,-310.2,-14.9,1.3
7.073,288.8,-306.9,-16.1,4.6
7.107,287.3,-303.3,-17.6,8.2
7.141,285.9,-299.5,-19,12
7.174,284.6,-296.2,-20.3,15.3
7.208,283.4,-292.9,-21.5,18.6
7.242,282.3,-289.9,-22.6,21.6
7.276,281.4,-287.6,-23.5,23.9
7.31,281.4,-286.8,-23.5,24.7
7.344,281.7,-286.4,-23.2,25.1
7.377,281.5,-286.6,-23.4,24.9
7.411,281.5,-286.4,-23.4,25.1
7.445,281.5,-286.2,-23.4,25.3
7.479,281.4,-286.2,-23.5,25.3
7.513,281.6,-286.3,-23.3,25.2
7.547,281.1,-286.2,-23.8,25.3
7.58,280.7,-286.7,-24.2,24.8
7.614,279.2,-287.8,-25.7,23.7
7.648,278.2,-288.7,-26.7,22.8
7.682,277.1,-289.6,-27.8,21.9
7.716,276.6,-291.3,-28.3,20.2
7.75,276.9,-293,-28,18.5
7.783,278.1,-295.6,-26.8,15.9
7.817,280,-298.8,-24.9,12.7
7.851,282.1,-302.5,-22.8,9
7.885,283.7,-306.2,-21.2,5.3
7.919,285.5,-310.8,-19.4,0.7
7.953,289.3,-319.1,-15.6,-7.6
7.987,291.1,-322.6,-13.8,-11.1
8.02,292.8,-325.2,-12.1,-13.7
8.054,294.3,-328.2,-10.6,-16.7
8.088,295.8,-331.5,-9.1,-20
8.122,297.3,-334.9,-7.6,-23.4
8.156,299.4,-338.4,-5.5,-26.9
8.19,301.4,-341.4,-3.5,-29.9
8.223,303.3,-344.5,-1.6,-33
8.257,305.3,-347.1,0.4,-35.6
8.291,306.7,-349.8,1.8,-38.3
8.325,308.4,-352.4,3.5,-40.9
8.359,309.8,-354.8,4.9,-43.3
8.393,311.7,-357.4,6.8,-45.9
8.426,313.3,-359.8,8.4,-48.3
8.46,315.2,-362.3,10.3,-50.8
8.494,316.5,-364.7,11.6,-53.2
8.528,318.2,-367,13.3,-55.5
8.562,319.3,-369.3,14.4,-57.8
8.596,320.8,-371.4,15.9,-59.9
8.63,322.1,-373,17.2,-61.5
8.663,323.3,-374.8,18.4,-63.3
