t,x,y,nx,ny
0,-2,-88.42,0,0
0.033,-2.006,-88.98,-0.006,-0.56
0.067,-2.14,-90.39,-0.14,-1.97
0.1,-2.766,-92.05,-0.766,-3.63
0.133,-3.503,-93.96,-1.503,-5.54
0.166,-4.18,-95.92,-2.18,-7.5
0.2,-4.841,-97.58,-2.841,-9.16
0.233,-5.386,-99.13,-3.386,-10.71
0.266,-6.068,-100.9,-4.068,-12.48
0.3,-8.188,-102.1,-6.188,-13.68
0.333,-9.556,-103,-7.556,-14.58
0.366,-11.15,-104,-9.15,-15.58
0.4,-13.25,-104.5,-11.25,-16.08
0.433,-16.44,-104.4,-14.44,-15.98
0.466,-18.99,-103.7,-16.99,-15.28
0.499,-20.08,-102.9,-18.08,-14.48
0.533,-19.61,-103.2,-17.61,-14.78
0.566,-17.55,-104.5,-15.55,-16.08
0.599,-15.42,-105.1,-13.42,-16.68
0.633,-14.22,-105.2,-12.22,-16.78
0.666,-10.22,-106.6,-8.22,-18.18
0.699,-8.454,-106.3,-6.454,-17.88
0.732,-6.577,-105.8,-4.577,-17.38
0.766,-4.809,-105.2,-2.809,-16.78
0.799,-3.087,-105,-1.087,-16.58
0.832,-1.611,-104.8,0.389,-16.38
0.866,-0.529,-104.4,1.471,-15.98
0.899,-0.499,-104.9,1.501,-16.48
0.932,-1.51,-106.2,0.49,-17.78
0.965,-2.992,-107.8,-0.992,-19.38
0.999,-4.796,-109.8,-2.796,-21.38
1.032,-6.409,-111.8,-4.409,-23.38
1.065,-8.159,-113.5,-6.159,-25.08
1.099,-9.961,-115.3,-7.961,-26.88
1.132,-12.61,-117,-10.61,-28.58
1.165,-14.9,-118,-12.9,-29.58
1.199,-16.93,-118.7,-14.93,-30.28
1.232,-17.53,-119.6,-15.53,-31.18
1.265,-17.5,-120,-15.5,-31.58
1.298,-18.02,-119.8,-16.02,-31.38
1.332,-18.87,-119.2,-16.87,-30.78
1.365,-19.46,-118.8,-17.46,-30.38
1.398,-19.68,-118.9,-17.68,-30.48
1.432,-18.14,-119.6,-16.14,-31.18
1.465,-15.93,-120.1,-13.93,-31.68
1.498,-14.57,-119.8,-12.57,-31.38
1.531,-13.4,-119.2,-11.4,-30.78
1.565,-11.81,-118.8,-9.81,-30.38
1.598,-9.902,-118.3,-7.902,-29.88
1.631,-8.021,-117.6,-6.021,-29.18
1.665,-5.975,-117,-3.975,-28.58
1.698,-4.276,-116.5,-2.276,-28.08
1.731,-2.89,-116.4,-0.89,-27.98
1.765,-2.164,-116.3,-0.164,-27.88
1.798,-2.379,-117,-0.379,-28.58
1.831,-3.474,-118.8,-1.474,-30.38
1.864,-5.035,-120.3,-3.035,-31.88
1.898,-6.752,-122.1,-4.752,-33.68
1.931,-8.376,-123.7,-6.376,-35.28
1.964,-10.09,-124.9,-8.09,-36.48
1.998,-12.52,-126.5,-10.52,-38.08
2.031,-15.16,-128.2,-13.16,-39.78
2.064,-17.74,-128.8,-15.74,-40.38
2.097,-19.31,-129.7,-17.31,-41.28
2.131,-19.48,-130.3,-17.48,-41.88
2.164,-19.67,-130.7,-17.67,-42.28
2.197,-20.39,-130.3,-18.39,-41.88
2.231,-21.24,-129.7,-19.24,-41.28
2.264,-21.78,-129.3,-19.78,-40.88
2.297,-21.81,-129.2,-19.81,-40.78
2.33,-20.24,-130.2,-18.24,-41.78
2.364,-18.2,-130.8,-16.2,-42.38
2.397,-17.03,-130.6,-15.03,-42.18
2.43,-15.89,-130.3,-13.89,-41.88
2.464,-14.16,-130,-12.16,-41.58
2.497,-12.08,-129.5,-10.08,-41.08
2.53,-10.19,-128.7,-8.19,-40.28
2.564,-8.297,-128.1,-6.297,-39.68
2.597,-6.647,-127.5,-4.647,-39.08
2.63,-5.228,-127.3,-3.228,-38.88
2.663,-4.566,-127.1,-2.566,-38.68
2.697,-4.411,-127.9,-2.411,-39.48
2.73,-5.365,-129.8,-3.365,-41.38
2.763,-6.934,-131.4,-4.934,-42.98
2.797,-8.559,-133.2,-6.559,-44.78
2.83,-10.38,-135.1,-8.38,-46.68
2.863,-14.43,-137.7,-12.43,-49.28
2.896,-17.2,-139.2,-15.2,-50.78
2.93,-19.74,-139.8,-17.74,-51.38
2.963,-21.4,-140.6,-19.4,-52.18
2.996,-21.42,-141.4,-19.42,-52.98
3.03,-21.44,-141.7,-19.44,-53.28
3.063,-22.01,-141.4,-20.01,-52.98
3.096,-23.03,-140.7,-21.03,-52.28
3.13,-23.44,-140.2,-21.44,-51.78
3.163,-23.12,-140.4,-21.12,-51.98
