t,x,y,nx,ny
0,54.59,-9.064,0,0
0.034,54.67,-9.343,0.08,-0.279
0.068,55.12,-9.666,0.53,-0.602
0.102,55.32,-10.31,0.73,-1.246
0.135,55.62,-10.3,1.03,-1.236
0.169,55.58,-10.55,0.99,-1.486
0.203,55.55,-10.58,0.96,-1.516
0.237,55.49,-10.56,0.9,-1.496
0.271,55.28,-10.29,0.69,-1.226
0.305,54.97,-9.63,0.38,-0.566
0.339,54.5,-9.071,-0.09,-0.007
0.372,53.84,-8.261,-0.75,0.803
0.406,52.85,-6.965,-1.74,2.099
0.44,51.84,-5.304,-2.75,3.76
0.474,50.62,-3.186,-3.97,5.878
0.508,49.05,-1.023,-5.54,8.041
0.542,47.88,1.491,-6.71,10.555
0.576,46.77,4.034,-7.82,13.098
0.609,45.73,6.164,-8.86,15.228
0.643,44.89,8.054,-9.7,17.118
0.677,44.25,9.771,-10.34,18.835
0.711,43.63,11.23,-10.96,20.294
0.745,43.14,12.17,-11.45,21.234
0.779,42.97,13.26,-11.62,22.324
0.813,42.76,13.52,-11.83,22.584
0.846,42.24,12.74,-12.35,21.804
0.88,42.23,10.78,-12.36,19.844
0.914,43,8.237,-11.59,17.301
0.948,44.18,5.294,-10.41,14.358
0.982,45.95,2.29,-8.64,11.354
1.016,47.41,-0.453,-7.18,8.611
1.05,49.04,-3.417,-5.55,5.647
1.083,50.89,-5.992,-3.7,3.072
1.117,52.33,-8.266,-2.26,0.798
1.151,53.59,-9.879,-1,-0.815
1.185,54.79,-11.78,0.2,-2.716
1.219,56.33,-13.26,1.74,-4.196
1.253,56.91,-14.68,2.32,-5.616
1.287,57.93,-15.95,3.34,-6.886
1.32,58.6,-17.59,4.01,-8.526
1.354,59.34,-18.79,4.75,-9.726
1.388,60.14,-20.09,5.55,-11.026
1.422,60.68,-21.24,6.09,-12.176
1.456,61.34,-22.2,6.75,-13.136
1.49,61.78,-22.67,7.19,-13.606
1.524,62.16,-23.36,7.57,-14.296
1.557,62.36,-23.77,7.77,-14.706
1.591,62.37,-24.37,7.78,-15.306
1.625,62.32,-24.33,7.73,-15.266
1.659,62.56,-24.21,7.97,-15.146
1.693,63.11,-24.48,8.52,-15.416
1.727,62.98,-25.68,8.39,-16.616
1.761,62.99,-26.11,8.4,-17.046
1.794,63.29,-26.26,8.7,-17.196
1.828,63.24,-26.79,8.65,-17.726
1.862,63.46,-27.14,8.87,-18.076
1.896,63.62,-27.24,9.03,-18.176
1.93,63.8,-27.15,9.21,-18.086
1.964,63.9,-27.1,9.31,-18.036
1.998,63.92,-27.01,9.33,-17.946
2.031,63.59,-26.7,9,-17.636
2.065,63.14,-26.23,8.55,-17.166
2.099,62.49,-25.43,7.9,-16.366
2.133,61.91,-24.3,7.32,-15.236
2.167,60.89,-22.44,6.3,-13.376
2.201,59.63,-20.43,5.04,-11.366
2.235,58.19,-18.46,3.6,-9.396
2.268,57.05,-16.25,2.46,-7.186
2.302,55.91,-13.83,1.32,-4.766
2.336,54.55,-11.37,-0.04,-2.306
2.37,53.52,-9.174,-1.07,-0.11
2.404,52.78,-7.261,-1.81,1.803
2.438,52.32,-5.625,-2.27,3.439
2.472,51.87,-4.397,-2.72,4.667
2.505,51.53,-3.369,-3.06,5.695
2.539,51.16,-2.878,-3.43,6.186
2.573,50.76,-3.049,-3.83,6.015
2.607,50.75,-6.013,-3.84,3.051
2.641,51.69,-8.813,-2.9,0.251
2.675,52.99,-12.25,-1.6,-3.186
2.709,54.84,-15.44,0.25,-6.376
2.742,56.65,-18.46,2.06,-9.396
2.776,58.38,-20.99,3.79,-11.926
2.81,60.03,-23.14,5.44,-14.076
2.844,61.3,-24.81,6.71,-15.746
2.878,62.3,-26.61,7.71,-17.546
2.912,63.44,-28.57,8.85,-19.506
2.946,64.45,-30.39,9.86,-21.326
2.979,65.33,-31.5,10.74,-22.436
3.013,65.97,-32.91,11.38,-23.846
3.047,66.6,-33.97,12.01,-24.906
3.081,67.33,-35.33,12.74,-26.266
3.115,67.77,-36.56,13.18,-27.496
3.149,68.54,-37.43,13.95,-28.366
3.183,69.07,-38.26,14.48,-29.196
3.216,69.58,-38.92,14.99,-29.856
3.25,69.9,-39.04,15.31,-29.976
3.284,70.3,-39.54,15.71,-30.476
3.318,70.47,-39.49,15.88,-30.426
3.352,70.78,-39.44,16.19,-30.376
3.386,71.28,-39.76,16.69,-30.696
3.42,71.25,-40.95,16.66,-31.886
3.453,71.46,-41.34,16.87,-32.276
3.487,71.86,-41.47,17.27,-32.406
3.521,71.79,-42,17.2,-32.936
3.555,71.91,-42.67,17.32,-33.606
3.589,72.31,-43.25,17.72,-34.186
3.623,72.93,-43.85,18.34,-34.786
3.657,73.39,-44.62,18.8,-35.556
3.69,73.88,-45.38,19.29,-36.316
3.724,74.16,-45.98,19.57,-36.916
3.758,74.48,-46.88,19.89,-37.816
3.792,74.69,-47.99,20.1,-38.926
3.826,75.03,-49.03,20.44,-39.966
3.86,75.25,-49.59,20.66,-40.526
3.894,75.35,-49.95,20.76,-40.886
3.927,75.05,-49.59,20.46,-40.526
3.961,74.31,-48.56,19.72,-39.496
3.995,73.45,-46.67,18.86,-37.606
4.029,72.14,-44.36,17.55,-35.296
4.063,71.1,-41.82,16.51,-32.756
4.097,69.93,-40.1,15.34,-31.036
4.131,69.39,-38.55,14.8,-29.486
4.164,69.13,-37.39,14.54,-28.326
4.198,68.81,-36.39,14.22,-27.326
4.232,68.1,-35.84,13.51,-26.776
4.266,67.67,-36.23,13.08,-27.166
4.3,67.47,-37.61,12.88,-28.546
4.334,67.85,-39.54,13.26,-30.476
4.368,69.14,-42.17,14.55,-33.106
4.401,70.74,-45.21,16.15,-36.146
4.435,72.38,-48.59,17.79,-39.526
4.469,74.13,-51.57,19.54,-42.506
4.503,75.91,-54.13,21.32,-45.066
4.537,77.11,-56.33,22.52,-47.266
4.571,78.39,-58.04,23.8,-48.976
4.605,79.61,-59.74,25.02,-50.676
4.638,80.93,-61.23,26.34,-52.166
4.672,81.83,-62.86,27.24,-53.796
4.706,82.64,-64.21,28.05,-55.146
4.74,83.54,-65.76,28.95,-56.696
4.774,84.33,-66.77,29.74,-57.706
4.808,84.91,-68.03,30.32,-58.966
4.842,85.23,-69.26,30.64,-60.196
4.875,85.84,-69.83,31.25,-60.766
4.909,86.2,-70.54,31.61,-61.476
4.943,86.56,-71.35,31.97,-62.286
4.977,86.82,-71.66,32.23,-62.596
5.011,87,-71.86,32.41,-62.796
5.045,87.14,-71.77,32.55,-62.706
5.079,87.9,-71.83,33.31,-62.766
5.112,87.93,-72.99,33.34,-63.926
5.146,87.64,-73.36,33.05,-64.296
5.18,87.89,-73.42,33.3,-64.356
5.214,87.76,-73.39,33.17,-64.326
5.248,87.59,-73.27,33,-64.206
5.282,87.44,-73.03,32.85,-63.966
5.316,87,-72.33,32.41,-63.266
5.349,86.82,-71.68,32.23,-62.616
5.383,86.51,-70.74,31.92,-61.676
5.417,85.88,-69.77,31.29,-60.706
5.451,85.26,-68.49,30.67,-59.426
5.485,84.43,-66.97,29.84,-57.906
5.519,83.11,-65.25,28.52,-56.186
5.553,81.87,-63.38,27.28,-54.316
5.586,80.94,-61.42,26.35,-52.356
5.62,79.85,-59.48,25.26,-50.416
5.654,78.46,-57.25,23.87,-48.186
5.688,77.14,-54.84,22.55,-45.776
5.722,76.06,-52.52,21.47,-43.456
5.756,75.12,-50.64,20.53,-41.576
5.79,74.3,-48.76,19.71,-39.696
5.823,73.61,-47,19.02,-37.936
5.857,73.08,-45.49,18.49,-36.426
5.891,72.68,-44.74,18.09,-35.676
5.925,72.54,-44.01,17.95,-34.946
5.959,72.43,-44.12,17.84,-35.056
5.993,71.82,-45.35,17.23,-36.286
6.027,71.92,-47.15,17.33,-38.086
6.06,72.55,-49.83,17.96,-40.766
6.094,73.89,-52.77,19.3,-43.706
6.128,75.51,-55.94,20.92,-46.876
6.162,77.31,-58.65,22.72,-49.586
6.196,79.21,-61.35,24.62,-52.286
6.23,80.76,-63.57,26.17,-54.506
6.264,81.93,-65.35,27.34,-56.286
6.297,83.08,-67,28.49,-57.936
6.331,84.4,-68.74,29.81,-59.676
6.365,85.1,-70.37,30.51,-61.306
6.399,85.94,-71.6,31.35,-62.536
6.433,86.89,-73.03,32.3,-63.966
6.467,87.54,-74.18,32.95,-65.116
6.501,88.49,-75.42,33.9,-66.356
6.534,88.99,-76.83,34.4,-67.766
6.568,89.61,-77.39,35.02,-68.326
6.602,90.02,-78.28,35.43,-69.216
6.636,90.22,-78.95,35.63,-69.886
6.67,90.72,-79.31,36.13,-70.246
6.704,90.77,-79.59,36.18,-70.526
6.737,90.64,-79.67,36.05,-70.606
6.771,90.72,-79.58,36.13,-70.516
6.805,91.25,-79.5,36.66,-70.436
6.839,91.8,-80.44,37.21,-71.376
6.873,91.51,-81.36,36.92,-72.296
6.907,91.73,-81.67,37.14,-72.606
6.941,92.06,-82.26,37.47,-73.196
6.974,92.19,-82.75,37.6,-73.686
7.008,92.42,-83.07,37.83,-74.006
7.042,92.46,-83.18,37.87,-74.116
7.076,92.45,-83.08,37.86,-74.016
7.11,92.48,-83,37.89,-73.936
7.144,92.32,-82.89,37.73,-73.826
7.178,92.07,-82.71,37.48,-73.646
7.211,91.81,-82.02,37.22,-72.956
7.245,91.14,-81.36,36.55,-72.296
7.279,90.5,-80.27,35.91,-71.206
7.313,89.25,-78.45,34.66,-69.386
7.347,88.2,-76.38,33.61,-67.316
7.381,86.69,-74.18,32.1,-65.116
7.415,85.44,-71.9,30.85,-62.836
7.448,84.27,-69.63,29.68,-60.566
7.482,82.21,-65.66,27.62,-56.596
7.516,81.65,-64,27.06,-54.936
7.55,81.16,-62.52,26.57,-53.456
7.584,80.81,-61.6,26.22,-52.536
7.618,80.72,-60.54,26.13,-51.476
7.652,80.57,-60.51,25.98,-51.446
7.685,79.65,-61.37,25.06,-52.306
7.719,79.38,-63.25,24.79,-54.186
7.753,80.3,-66.14,25.71,-57.076
7.787,81.7,-69.43,27.11,-60.366
7.821,83.31,-72.51,28.72,-63.446
7.855,85.05,-75.39,30.46,-66.326
7.889,86.56,-78.14,31.97,-69.076
7.922,88.21,-80.31,33.62,-71.246
7.956,89.6,-82.24,35.01,-73.176
7.99,90.72,-83.86,36.13,-74.796
8.024,91.67,-85.71,37.08,-76.646
8.058,92.68,-87.2,38.09,-78.136
8.092,93.57,-88.31,38.98,-79.246
8.126,94.42,-89.78,39.83,-80.716
8.159,95.06,-90.96,40.47,-81.896
8.193,95.66,-92.33,41.07,-83.266
8.227,96.14,-93.54,41.55,-84.476
8.261,96.78,-94.29,42.19,-85.226
8.295,96.99,-95.11,42.4,-86.046
8.329,97.51,-95.78,42.92,-86.716
8.363,97.92,-95.99,43.33,-86.926
8.396,98.16,-96.28,43.57,-87.216
8.43,98.1,-96.41,43.51,-87.346
8.464,98.2,-96.37,43.61,-87.306
8.498,98.69,-96.39,44.1,-87.326
8.532,99.42,-97.32,44.83,-88.256
8.566,99.18,-98.49,44.59,-89.426
8.6,99.28,-98.94,44.69,-89.876
8.633,99.68,-99.45,45.09,-90.386
8.667,99.87,-100.1,45.28,-91.036
8.701,100.1,-100.6,45.51,-91.536
8.735,100.3,-101.6,45.71,-92.536
8.769,100.5,-102.2,45.91,-93.136
8.803,100.7,-102.7,46.11,-93.636
8.837,101.1,-103.2,46.51,-94.136
8.87,101.2,-103.6,46.61,-94.536
8.904,101.2,-104.1,46.61,-95.036
8.938,101,-104.2,46.41,-95.136
8.972,100.9,-104.1,46.31,-95.036
9.006,100.3,-103.6,45.71,-94.536
9.04,99.45,-102.3,44.86,-93.236
9.074,98.13,-100.1,43.54,-91.036
9.107,96.51,-97.84,41.92,-88.776
9.141,95.2,-95.75,40.61,-86.686
9.175,94.37,-93.4,39.78,-84.336
9.209,93.5,-91.5,38.91,-82.436
9.243,92.74,-89.82,38.15,-80.756
9.277,92.1,-88.42,37.51,-79.356
9.311,91.73,-87.33,37.14,-78.266
9.344,91.43,-86.78,36.84,-77.716
9.378,91.24,-86.88,36.65,-77.816
9.412,90.77,-87.71,36.18,-78.646
9.446,90.81,-89.37,36.22,-80.306
9.48,91.53,-91.87,36.94,-82.806
9.514,92.81,-94.69,38.22,-85.626
9.548,94.53,-97.75,39.94,-88.686
9.581,96.3,-100.8,41.71,-91.736
9.615,98.23,-103.5,43.64,-94.436
9.649,99.84,-105.6,45.25,-96.536
9.683,100.9,-107.4,46.31,-98.336
9.717,102,-109.1,47.41,-100.036
