t,x,y,nx,ny
0,51.53,-7.58,0,0
0.034,51.52,-7.589,-0.01,-0.009
0.068,51.61,-7.573,0.08,0.007
0.102,52,-7.58,0.47,0
0.135,51.74,-7.998,0.21,-0.418
0.169,51.47,-7.632,-0.06,-0.052
0.203,51.55,-7.333,0.02,0.247
0.237,51.33,-6.82,-0.2,0.76
0.271,50.87,-6.24,-0.66,1.34
0.305,50.5,-5.542,-1.03,2.038
0.339,50.02,-4.708,-1.51,2.872
0.372,49.55,-3.551,-1.98,4.029
0.406,47.02,-0.915,-4.51,6.665
0.44,45.13,2.176,-6.4,9.756
0.474,44.34,3.718,-7.19,11.298
0.508,43.3,5.458,-8.23,13.038
0.542,42.03,7.381,-9.5,14.961
0.576,40.69,9.359,-10.84,16.939
0.609,39.68,11.33,-11.85,18.91
0.643,38.7,13.31,-12.83,20.89
0.677,37.45,15.59,-14.08,23.17
0.711,36.14,18.22,-15.39,25.8
0.745,35.1,20.67,-16.43,28.25
0.779,34.33,22.71,-17.2,30.29
0.813,33.85,24.49,-17.68,32.07
0.846,33.31,26.11,-18.22,33.69
0.88,32.85,26.99,-18.68,34.57
0.914,32.55,28.09,-18.98,35.67
0.948,32.42,28.3,-19.11,35.88
0.982,31.78,27.83,-19.75,35.41
1.016,31.34,26.28,-20.19,33.86
1.049,32,24.03,-19.53,31.61
1.083,33.09,20.94,-18.44,28.52
1.117,34.44,17.84,-17.09,25.42
1.151,36.22,14.84,-15.31,22.42
1.185,38.05,11.83,-13.48,19.41
1.219,39.73,9.282,-11.8,16.862
1.253,41.37,7.295,-10.16,14.875
1.286,42.82,5.546,-8.71,13.126
1.32,43.9,3.72,-7.63,11.3
1.354,44.94,1.982,-6.59,9.562
1.388,45.85,0.168,-5.68,7.748
1.422,46.88,-1.18,-4.65,6.4
1.456,47.71,-2.714,-3.82,4.866
1.49,48.45,-3.858,-3.08,3.722
1.523,49.23,-5.328,-2.3,2.252
1.557,49.79,-6.541,-1.74,1.039
1.591,50.46,-7.523,-1.07,0.057
1.625,50.78,-8.175,-0.75,-0.595
1.659,51.1,-9.102,-0.43,-1.522
1.693,51.56,-9.446,0.03,-1.866
1.727,51.71,-9.766,0.18,-2.186
1.76,51.67,-9.686,0.14,-2.106
1.794,52.15,-9.567,0.62,-1.987
1.828,53,-10.35,1.47,-2.77
1.862,52.87,-11.42,1.34,-3.84
1.896,52.79,-11.7,1.26,-4.12
1.93,53,-11.67,1.47,-4.09
1.964,53.11,-11.93,1.58,-4.35
1.997,53.19,-11.94,1.66,-4.36
2.031,53.25,-11.93,1.72,-4.35
2.065,53.3,-11.76,1.77,-4.18
2.099,53.32,-11.44,1.79,-3.86
2.133,53.14,-11.12,1.61,-3.54
2.167,52.91,-10.85,1.38,-3.27
2.201,52.25,-9.777,0.72,-2.197
2.234,51.58,-9.144,0.05,-1.564
2.268,50.57,-7.747,-0.96,-0.167
2.302,49.56,-5.689,-1.97,1.891
2.336,48.24,-3.708,-3.29,3.872
2.37,47.18,-1.664,-4.35,5.916
2.404,45.73,0.659,-5.8,8.239
2.438,44.37,3.36,-7.16,10.94
2.471,43.47,5.774,-8.06,13.354
2.505,42.48,7.857,-9.05,15.437
2.539,41.63,9.566,-9.9,17.146
2.573,41.04,11.1,-10.49,18.68
2.607,40.52,12.19,-11.01,19.77
2.641,40.2,13.15,-11.33,20.73
2.674,40.04,13.37,-11.49,20.95
2.708,39.64,13.04,-11.89,20.62
2.742,40.01,8.422,-11.52,16.002
2.776,41.31,5.26,-10.22,12.84
2.81,42.95,2.05,-8.58,9.63
2.844,44.19,-1.027,-7.34,6.553
2.878,45.8,-3.718,-5.73,3.862
2.911,47.61,-6.144,-3.92,1.436
2.945,49.02,-7.984,-2.51,-0.404
2.979,50.03,-9.872,-1.5,-2.292
3.013,51.3,-11.64,-0.23,-4.06
3.047,52.54,-13.22,1.01,-5.64
3.081,53.43,-14.93,1.9,-7.35
3.115,54.34,-16.7,2.81,-9.12
3.148,55.09,-17.97,3.56,-10.39
3.182,55.71,-19.1,4.18,-11.52
3.216,56.39,-20.7,4.86,-13.12
3.25,57.08,-21.92,5.55,-14.34
3.284,57.75,-22.85,6.22,-15.27
3.318,58.35,-23.55,6.82,-15.97
3.352,58.82,-24.19,7.29,-16.61
3.385,59.1,-24.64,7.57,-17.06
3.419,59.24,-24.93,7.71,-17.35
3.453,59.21,-24.85,7.68,-17.27
3.487,59.44,-24.83,7.91,-17.25
3.521,60,-25.7,8.47,-18.12
3.555,59.85,-26.76,8.32,-19.18
3.589,60.04,-26.95,8.51,-19.37
3.622,60.42,-27.41,8.89,-19.83
3.656,60.52,-28.19,8.99,-20.61
3.69,60.87,-28.72,9.34,-21.14
3.724,61.2,-29.42,9.67,-21.84
3.758,61.35,-29.98,9.82,-22.4
3.792,61.72,-30.29,10.19,-22.71
3.826,62.04,-30.6,10.51,-23.02
3.859,62.02,-30.98,10.49,-23.4
