t,x,y,nx,ny
0,299.1,-220.6,0,0
0.034,299.1,-220.5,0,0.1
0.068,299.1,-221.3,0,-0.7
0.102,298.6,-224.2,-0.5,-3.6
0.136,297.6,-226.3,-1.5,-5.7
0.169,298.3,-227.4,-0.8,-6.8
0.203,298.5,-228.4,-0.6,-7.8
0.237,298.6,-229.6,-0.5,-9
0.271,298.6,-230.7,-0.5,-10.1
0.305,298.6,-232,-0.5,-11.4
0.339,298.4,-233.3,-0.7,-12.7
0.373,298.3,-234.8,-0.8,-14.2
0.407,298.2,-236.1,-0.9,-15.5
0.44,298.1,-237.2,-1,-16.6
0.474,298.1,-238.3,-1,-17.7
0.508,298,-239.4,-1.1,-18.8
0.542,298,-240.6,-1.1,-20
0.576,298,-241.5,-1.1,-20.9
0.61,298.1,-242.3,-1,-21.7
0.644,298.1,-242.9,-1,-22.3
0.678,298.1,-243.2,-1,-22.6
0.711,297.7,-243,-1.4,-22.4
0.745,297.1,-241.8,-2,-21.2
0.779,296.3,-240,-2.8,-19.4
0.813,295.4,-238,-3.7,-17.4
0.847,294.3,-235.8,-4.8,-15.2
0.881,293.1,-233.5,-6,-12.9
0.915,292.1,-231.4,-7,-10.8
0.949,291.4,-229.5,-7.7,-8.9
0.982,290.8,-227.9,-8.3,-7.3
1.016,290.4,-226.5,-8.7,-5.9
1.05,290.1,-225.6,-9,-5
1.084,290,-224.9,-9.1,-4.3
1.118,289.9,-224.8,-9.2,-4.2
1.152,289.4,-225.6,-9.7,-5
1.186,289.1,-227.2,-10,-6.6
1.22,289.6,-229.3,-9.5,-8.7
1.253,290.5,-231.7,-8.6,-11.1
1.287,291.4,-234.3,-7.7,-13.7
1.321,292.4,-236.9,-6.7,-16.3
1.355,293.6,-239.6,-5.5,-19
1.389,294.7,-242,-4.4,-21.4
1.423,295.7,-244.2,-3.4,-23.6
1.457,296.7,-246.3,-2.4,-25.7
1.491,297.6,-248.5,-1.5,-27.9
1.524,298.7,-250.5,-0.4,-29.9
1.558,299.9,-252.3,0.8,-31.7
1.592,301.1,-254,2,-33.4
1.626,302.4,-255.6,3.3,-35
1.66,303.4,-257.1,4.3,-36.5
1.694,304.3,-258.2,5.2,-37.6
1.728,305.2,-258.9,6.1,-38.3
1.762,305.5,-259.1,6.4,-38.5
1.795,305.4,-259,6.3,-38.4
1.829,305.3,-258.4,6.2,-37.8
1.863,305.2,-257.3,6.1,-36.7
1.897,305.1,-255.8,6,-35.2
1.931,305.2,-254.1,6.1,-33.5
1.965,305.3,-252.6,6.2,-32
1.999,305.3,-251.4,6.2,-30.8
2.033,305.2,-250.9,6.1,-30.3
2.066,305.4,-250.6,6.3,-30
2.1,305.6,-251.3,6.5,-30.7
2.134,304.5,-253.8,5.4,-33.2
2.168,303.6,-256.1,4.5,-35.5
2.202,304.3,-257.2,5.2,-36.6
2.236,304.6,-258.3,5.5,-37.7
2.27,304.6,-259.8,5.5,-39.2
2.304,304.7,-262.3,5.6,-41.7
2.337,304.5,-264,5.4,-43.4
2.371,304.3,-265.3,5.2,-44.7
2.405,304.3,-266.6,5.2,-46
2.439,304.3,-267.8,5.2,-47.2
2.473,304.2,-269,5.1,-48.4
2.507,304.1,-270.1,5,-49.5
2.541,304.1,-271.2,5,-50.6
2.575,304.1,-272.3,5,-51.7
2.608,304.1,-273.3,5,-52.7
2.642,304,-274.1,4.9,-53.5
2.676,304,-274.9,4.9,-54.3
2.71,304,-275.4,4.9,-54.8
2.744,304,-276,4.9,-55.4
2.778,304.1,-276.5,5,-55.9
2.812,304.1,-276.8,5,-56.2
2.846,304.2,-277.3,5.1,-56.7
2.879,304.1,-277.7,5,-57.1
2.913,304.1,-278,5,-57.4
2.947,304.1,-278.3,5,-57.7
2.981,304.1,-278.3,5,-57.7
3.015,304.2,-278.3,5.1,-57.7
3.049,304,-277.7,4.9,-57.1
3.083,303.8,-276.7,4.7,-56.1
3.117,303.3,-277.1,4.2,-56.5
3.15,303,-278.5,3.9,-57.9
3.184,303,-280.4,3.9,-59.8
3.218,303.8,-282.6,4.7,-62
3.252,304.5,-284.9,5.4,-64.3
3.286,305.7,-287,6.6,-66.4
3.32,307,-289.4,7.9,-68.8
3.354,308,-292,8.9,-71.4
3.388,309.5,-294.3,10.4,-73.7
3.421,311.2,-296.5,12.1,-75.9
3.455,312.5,-298.7,13.4,-78.1
3.489,313.5,-300.5,14.4,-79.9
3.523,314.7,-302.2,15.6,-81.6
3.557,315.8,-303.8,16.7,-83.2
3.591,316.7,-305.5,17.6,-84.9
3.625,317.7,-307,18.6,-86.4
3.659,318.8,-308.1,19.7,-87.5
3.692,319.5,-308.9,20.4,-88.3
3.726,319.9,-309.2,20.8,-88.6
3.76,320,-309,20.9,-88.4
3.794,320,-308.1,20.9,-87.5
3.828,319.7,-306.6,20.6,-86
3.862,319.9,-304.7,20.8,-84.1
3.896,320,-302.8,20.9,-82.2
3.93,320,-301.1,20.9,-80.5
3.963,320,-300.2,20.9,-79.6
3.997,319.9,-299.3,20.8,-78.7
4.031,319.8,-298.9,20.7,-78.3
4.065,320.1,-298.5,21,-77.9
4.099,320.2,-299.5,21.1,-78.9
4.133,319.4,-302.5,20.3,-81.9
4.167,318.6,-304.7,19.5,-84.1
4.201,319.6,-305.8,20.5,-85.2
4.234,319.9,-307,20.8,-86.4
4.268,319.8,-308.9,20.7,-88.3
4.302,319.9,-310.2,20.8,-89.6
4.336,320.1,-311.4,21,-90.8
4.37,320.1,-313.1,21,-92.5
4.404,320,-314.6,20.9,-94
4.438,320,-315.8,20.9,-95.2
4.472,320,-316.9,20.9,-96.3
4.505,320,-318.3,20.9,-97.7
4.539,320,-319.3,20.9,-98.7
4.573,319.9,-320.5,20.8,-99.9
4.607,319.9,-322.5,20.8,-101.9
4.641,319.9,-323.5,20.8,-102.9
4.675,319.9,-324.4,20.8,-103.8
4.709,319.9,-325.2,20.8,-104.6
4.743,320,-325.4,20.9,-104.8
4.776,320,-325.6,20.9,-105
4.81,319.9,-325.7,20.8,-105.1
4.844,319.7,-325.7,20.6,-105.1
4.878,319.5,-325.7,20.4,-105.1
4.912,319.4,-325.8,20.3,-105.2
4.946,319.3,-325.6,20.2,-105
4.98,319.3,-325.1,20.2,-104.5
5.014,318.5,-323.9,19.4,-103.3
5.047,317.7,-322.7,18.6,-102.1
5.081,317.6,-322.5,18.5,-101.9
5.115,317.2,-322.9,18.1,-102.3
5.149,317.3,-324.5,18.2,-103.9
5.183,317.7,-326.6,18.6,-106
5.217,318.9,-328.9,19.8,-108.3
5.251,320.1,-331.3,21,-110.7
5.285,321.2,-333.4,22.1,-112.8
5.318,322.2,-335.9,23.1,-115.3
5.352,323.5,-338.2,24.4,-117.6
5.386,325.1,-340.2,26,-119.6
5.42,326.4,-342.5,27.3,-121.9
5.454,327.6,-344.5,28.5,-123.9
5.488,329,-346.1,29.9,-125.5
5.522,330.1,-347.8,31,-127.2
5.556,331.2,-349.5,32.1,-128.9
5.589,332.4,-351.1,33.3,-130.5
5.623,333.5,-352.6,34.4,-132
5.657,334.4,-353.8,35.3,-133.2
5.691,335.1,-354.8,36,-134.2
5.725,335.7,-355.6,36.6,-135
5.759,335.9,-356.1,36.8,-135.5
5.793,336,-356.1,36.9,-135.5
5.827,336.2,-355.7,37.1,-135.1
5.86,336.1,-354.8,37,-134.2
5.894,336,-353.4,36.9,-132.8
5.928,335.7,-352.1,36.6,-131.5
5.962,335.9,-350.7,36.8,-130.1
5.996,335.7,-349.9,36.6,-129.3
6.03,335.8,-349.7,36.7,-129.1
6.064,336,-349.5,36.9,-128.9
6.098,335.9,-350.8,36.8,-130.2
6.131,334.9,-353.5,35.8,-132.9
6.165,334.8,-355.3,35.7,-134.7
6.199,335.8,-356.5,36.7,-135.9
6.233,336.1,-358,37,-137.4
6.267,336,-359.7,36.9,-139.1
6.301,336.3,-361,37.2,-140.4
6.335,336.3,-362.5,37.2,-141.9
6.369,336.1,-364.1,37,-143.5
6.402,336.1,-365.7,37,-145.1
6.436,336.1,-367,37,-146.4
6.47,336.2,-368.1,37.1,-147.5
6.504,336.1,-369.4,37,-148.8
6.538,336.1,-370.8,37,-150.2
6.572,336.1,-372,37,-151.4
6.606,336,-373.1,36.9,-152.5
