t,x,y,nx,ny
0,300,-221.4,0,0
0.034,300,-221.5,0,-0.1
0.068,300.2,-222.9,0.2,-1.5
0.102,299.6,-225.3,-0.4,-3.9
0.136,299.6,-226.8,-0.4,-5.4
0.169,300,-227.9,0,-6.5
0.203,300.2,-229,0.2,-7.6
0.237,300.3,-230.4,0.3,-9
0.271,300.3,-231.5,0.3,-10.1
0.305,300.4,-232.7,0.4,-11.3
0.339,300.3,-233.9,0.3,-12.5
0.373,300.1,-235.1,0.1,-13.7
0.407,300,-236.3,0,-14.9
0.44,300,-237.5,0,-16.1
0.474,299.9,-238.6,-0.1,-17.2
0.508,299.9,-239.8,-0.1,-18.4
0.542,299.8,-240.7,-0.2,-19.3
0.576,300,-241.5,0,-20.1
0.61,300,-242.2,0,-20.8
0.644,300,-242.8,0,-21.4
0.678,300,-242.8,0,-21.4
0.711,299.8,-242.5,-0.2,-21.1
0.745,299.3,-241.7,-0.7,-20.3
0.779,298.5,-240.5,-1.5,-19.1
0.813,297.8,-238.8,-2.2,-17.4
0.847,296.8,-236.6,-3.2,-15.2
0.881,295.6,-234.3,-4.4,-12.9
0.915,294.6,-232.4,-5.4,-11
0.949,294,-230.6,-6,-9.2
0.982,293.4,-228.9,-6.6,-7.5
1.016,293,-227.9,-7,-6.5
1.05,292.7,-226.7,-7.3,-5.3
1.084,292.4,-226.1,-7.6,-4.7
1.118,292.1,-226.3,-7.9,-4.9
1.152,291.7,-227,-8.3,-5.6
1.186,291.5,-228.7,-8.5,-7.3
1.22,292,-230.8,-8,-9.4
1.253,292.9,-233.1,-7.1,-11.7
1.287,293.8,-235.3,-6.2,-13.9
1.321,294.7,-238,-5.3,-16.6
1.355,295.7,-240.7,-4.3,-19.3
1.389,297.1,-243.1,-2.9,-21.7
1.423,298.3,-245.4,-1.7,-24
1.457,299.6,-247.7,-0.4,-26.3
1.491,301.1,-249.8,1.1,-28.4
1.524,302.2,-251.6,2.2,-30.2
1.558,303.4,-253.5,3.4,-32.1
1.592,304.5,-255.3,4.5,-33.9
1.626,305.6,-256.8,5.6,-35.4
1.66,306.8,-258,6.8,-36.6
1.694,307.6,-258.6,7.6,-37.2
1.728,308.1,-258.4,8.1,-37
1.762,308.1,-257.9,8.1,-36.5
1.795,308,-257.1,8,-35.7
1.829,307.8,-255.9,7.8,-34.5
1.863,307.7,-254.3,7.7,-32.9
1.897,307.8,-252.7,7.8,-31.3
1.931,307.9,-251,7.9,-29.6
1.965,307.9,-249.6,7.9,-28.2
1.999,307.9,-248.8,7.9,-27.4
2.033,307.9,-248,7.9,-26.6
2.066,307.9,-247.9,7.9,-26.5
2.1,307.9,-248.3,7.9,-26.9
2.134,307.8,-250.5,7.8,-29.1
2.168,307,-254.5,7,-33.1
2.202,307.7,-255.4,7.7,-34
2.236,307.8,-256.8,7.8,-35.4
2.27,307.8,-258.1,7.8,-36.7
2.304,307.9,-259.3,7.9,-37.9
2.337,307.9,-260.5,7.9,-39.1
2.371,307.9,-262.1,7.9,-40.7
2.405,307.7,-263.4,7.7,-42
2.439,307.8,-264.5,7.8,-43.1
2.473,307.7,-265.6,7.7,-44.2
2.507,307.6,-266.9,7.6,-45.5
2.541,307.6,-268,7.6,-46.6
2.575,307.6,-269,7.6,-47.6
2.608,307.4,-270.1,7.4,-48.7
2.642,307.4,-271,7.4,-49.6
2.676,307.1,-272.1,7.1,-50.7
2.71,306.9,-272.9,6.9,-51.5
2.744,306.8,-273.4,6.8,-52
2.778,306.7,-273.4,6.7,-52
2.812,306.4,-272.7,6.4,-51.3
2.846,305.4,-271.2,5.4,-49.8
2.879,304.4,-269.3,4.4,-47.9
2.913,303.6,-267.5,3.6,-46.1
2.947,302.7,-265.6,2.7,-44.2
2.981,302,-264,2,-42.6
3.015,301.6,-262.9,1.6,-41.5
3.049,301.2,-261.7,1.2,-40.3
3.083,300.9,-261.3,0.9,-39.9
3.117,300.6,-261.4,0.6,-40
3.15,300.1,-262.6,0.1,-41.2
3.184,300,-264.4,0,-43
3.218,300.7,-266.6,0.7,-45.2
3.252,301.9,-268.9,1.9,-47.5
3.286,303.3,-271.2,3.3,-49.8
3.32,304.5,-273.9,4.5,-52.5
3.354,306,-276.4,6,-55
3.388,307.5,-278.9,7.5,-57.5
3.421,308.6,-281.2,8.6,-59.8
3.455,309.5,-283.1,9.5,-61.7
3.489,310.6,-284.8,10.6,-63.4
3.523,311.8,-286.6,11.8,-65.2
3.557,312.7,-288.1,12.7,-66.7
3.591,313.9,-289,13.9,-67.6
