t,x,y,nx,ny
0,44.44,-8.916,0,0
0.034,44.45,-9.038,0.01,-0.122
0.068,44.46,-10.11,0.02,-1.194
0.102,43.61,-10.84,-0.83,-1.924
0.135,43.66,-11.23,-0.78,-2.314
0.169,44.14,-10.92,-0.3,-2.004
0.203,44.44,-10.81,0,-1.894
0.237,44.28,-10.61,-0.16,-1.694
0.271,43.99,-10.38,-0.45,-1.464
0.305,43.55,-9.692,-0.89,-0.776
0.339,42.95,-8.803,-1.49,0.113
0.372,42.23,-7.337,-2.21,1.579
0.406,41.39,-5.515,-3.05,3.401
0.44,40.59,-3.666,-3.85,5.25
0.474,39.79,-2.034,-4.65,6.882
0.508,39.04,-0.416,-5.4,8.5
0.542,38.03,1.295,-6.41,10.211
0.576,36.93,3.123,-7.51,12.039
0.609,35.86,5.115,-8.58,14.031
0.643,35.07,7.174,-9.37,16.09
0.677,34.16,9.136,-10.28,18.052
0.711,33.12,11.34,-11.32,20.256
0.745,31.87,13.25,-12.57,22.166
0.779,31.04,15.44,-13.4,24.356
0.813,30.2,17.7,-14.24,26.616
0.846,29.43,19.96,-15.01,28.876
0.88,28.53,21.94,-15.91,30.856
0.914,27.74,23.88,-16.7,32.796
0.948,27.24,25.45,-17.2,34.366
0.982,26.96,26.61,-17.48,35.526
1.016,26.82,27.5,-17.62,36.416
1.05,26.46,28.12,-17.98,37.036
1.083,26.4,28.15,-18.04,37.066
1.117,26.28,27.62,-18.16,36.536
1.151,26.24,25.72,-18.2,34.636
1.185,26.68,23.08,-17.76,31.996
1.219,27.84,20.7,-16.6,29.616
1.253,28.78,18.27,-15.66,27.186
1.287,29.67,15.77,-14.77,24.686
1.32,30.84,13.1,-13.6,22.016
1.354,32.43,10.74,-12.01,19.656
1.388,34.11,8.073,-10.33,16.989
1.422,35.67,5.567,-8.77,14.483
1.456,36.97,3.46,-7.47,12.376
1.49,38.34,1.395,-6.1,10.311
1.524,39.67,-0.494,-4.77,8.422
1.557,40.9,-2.302,-3.54,6.614
1.591,42.27,-4.104,-2.17,4.812
1.625,43.57,-5.788,-0.87,3.128
1.659,44.6,-7.524,0.16,1.392
1.693,45.56,-9.239,1.12,-0.323
1.727,46.76,-10.46,2.32,-1.544
1.761,47.9,-11.8,3.46,-2.884
1.794,49.28,-13.95,4.84,-5.034
1.828,49.85,-14.54,5.41,-5.624
1.862,50.28,-15.55,5.84,-6.634
1.896,50.76,-16.01,6.32,-7.094
1.93,51.06,-16.37,6.62,-7.454
1.964,51.28,-16.36,6.84,-7.444
1.998,51.45,-16.38,7.01,-7.464
2.031,50.69,-17.47,6.25,-8.554
2.065,49.23,-18.63,4.79,-9.714
2.099,48.94,-18.56,4.5,-9.644
2.133,49.18,-18.17,4.74,-9.254
2.167,49.38,-17.5,4.94,-8.584
2.201,49.18,-16.7,4.74,-7.784
2.235,48.52,-15.77,4.08,-6.854
2.268,47.79,-14.55,3.35,-5.634
2.302,47.1,-13.11,2.66,-4.194
2.336,46.2,-11.66,1.76,-2.744
2.37,45.38,-10.28,0.94,-1.364
2.404,44.62,-8.596,0.18,0.32
2.438,43.87,-6.931,-0.57,1.985
2.472,42.8,-5.069,-1.64,3.847
2.505,41.65,-3.234,-2.79,5.682
2.539,40.57,-1.419,-3.87,7.497
2.573,39.67,0.575,-4.77,9.491
2.607,38.81,2.431,-5.63,11.347
2.641,37.63,4.473,-6.81,13.389
2.675,36.55,6.496,-7.89,15.412
2.709,35.64,8.827,-8.8,17.743
2.742,34.71,11.32,-9.73,20.236
2.776,33.7,13.37,-10.74,22.286
2.81,32.87,15.57,-11.57,24.486
2.844,32.08,17.45,-12.36,26.366
2.878,31.48,19.19,-12.96,28.106
2.912,31.15,20.62,-13.29,29.536
2.946,31.02,21.67,-13.42,30.586
2.979,30.78,22.53,-13.66,31.446
3.013,30.79,22.46,-13.65,31.376
3.047,30.66,22.11,-13.78,31.026
3.081,30.42,20.39,-14.02,29.306
3.115,30.76,17.92,-13.68,26.836
3.149,31.81,15.69,-12.63,24.606
3.183,32.98,13.34,-11.46,22.256
3.216,33.78,10.73,-10.66,19.646
3.25,35,7.992,-9.44,16.908
3.284,36.25,5.273,-8.19,14.189
3.318,37.98,2.807,-6.46,11.723
3.352,39.72,0.478,-4.72,9.394
3.386,41.04,-1.585,-3.4,7.331
3.42,42.23,-3.56,-2.21,5.356
3.453,43.62,-5.555,-0.82,3.361
3.487,44.77,-7.368,0.33,1.548
3.521,45.82,-9.098,1.38,-0.182
3.555,46.99,-10.85,2.55,-1.934
3.589,48.31,-12.55,3.87,-3.634
3.623,49.43,-14.08,4.99,-5.164
3.657,50.42,-15.34,5.98,-6.424
3.69,51.33,-16.7,6.89,-7.784
3.724,52.2,-18.17,7.76,-9.254
3.758,52.88,-19.37,8.44,-10.454
3.792,53.68,-20.06,9.24,-11.144
3.826,54.26,-20.77,9.82,-11.854
3.86,54.53,-21.39,10.09,-12.474
3.894,54.76,-21.72,10.32,-12.804
3.927,54.88,-22.07,10.44,-13.154
3.961,55.04,-22,10.6,-13.084
3.995,54.9,-22.98,10.46,-14.064
4.029,52.95,-25.33,8.51,-16.414
4.063,53.67,-25.58,9.23,-16.664
4.097,54.65,-25.96,10.21,-17.044
4.131,54.96,-26.81,10.52,-17.894
4.164,55.13,-27.75,10.69,-18.834
4.198,55.26,-28.61,10.82,-19.694
4.232,55.68,-29.3,11.24,-20.384
4.266,56.17,-29.85,11.73,-20.934
4.3,56.54,-30.29,12.1,-21.374
4.334,56.99,-31.03,12.55,-22.114
4.368,57.48,-31.39,13.04,-22.474
4.401,57.88,-31.95,13.44,-23.034
4.435,58.24,-32.35,13.8,-23.434
4.469,58.65,-32.6,14.21,-23.684
4.503,58.65,-32.59,14.21,-23.674
4.537,58.48,-32.11,14.04,-23.194
4.571,57.89,-30.87,13.45,-21.954
4.605,56.76,-28.9,12.32,-19.984
4.638,55.44,-26.7,11,-17.784
4.672,54.54,-24.61,10.1,-15.694
4.706,53.8,-22.36,9.36,-13.444
4.74,52.95,-20.09,8.51,-11.174
4.774,52.02,-18.17,7.58,-9.254
4.808,51.2,-16.43,6.76,-7.514
4.842,50.86,-14.88,6.42,-5.964
4.875,50.63,-13.78,6.19,-4.864
4.909,50.43,-12.83,5.99,-3.914
4.943,50.19,-12.52,5.75,-3.604
